Name of Collection,Total volume of Collection,Change in volume,Floor Price of Collection,Time of Scrape,Name of Collection.1,Total volume of Collection.1,Change in volume.1,Floor Price of Collection.1,Time of Scrape.1,Name of Collection.2,Total volume of Collection (in ETH),Change in volume (in ETH)),Floor Price of Collection.2,Time of Scrape.2,Rank,Name of Collection.3,Total volume of Collection (in ETH).1,Change in volume (in ETH)).1,Floor Price of Collection.3,Time of Scrape.3,Rank.1,Name of Collection.4,Total volume of Collection (in ETH).2,Change in Daily volume (in ETH)),Floor Price of Collection.4,Time of Scrape.4,Rank.2,Name of Collection.5,Total volume of Collection (in ETH).3,Change in Daily volume (in ETH)).1,Floor Price of Collection.5,Time of Scrape.5,Rank,Name of Collection,Total volume of Collection (in ETH),Change in Daily volume (in ETH)),Floor Price of Collection,Time of Scrape
CYBER CELEBRATION,349.08 ETH,--,< 0.01 ETH,8/5/22 19:50,CYBER CELEBRATION,353.47 ETH,--,< 0.01 ETH,8/5/22 20:12,CYBER CELEBRATION,366.28,--,0.01,8/5/22 21:57,1.0,CYBER CELEBRATION,372.35,--,0.01,08/05/2022 23:36:57,1.0,CYBER CELEBRATION,151.35,-40%,0.0001,08/06/2022 18:07:39,1.0,CYBER CELEBRATION,17.18,-94%,0.0001,08/07/2022 16:15:22,1.0,THE CONSERVATION,65.66,--,0.17,08/08/2022 13:54:42
CYBER CREW [C4],34.31 ETH,37%,0.13 ETH,8/5/22 19:50,CYBER CREW [C4],33.56 ETH,29%,0.13 ETH,8/5/22 20:12,CYBER CREW [C4],31.8,22%,0.13,8/5/22 21:57,2.0,CYBER CREW [C4],32.34,+24%,0.13,08/05/2022 23:36:57,2.0,CYBER CREW [C4],26.19,-6%,0.13,08/06/2022 18:07:39,2.0,CYBER CREW [C4],11.16,-62%,0.12,08/07/2022 16:15:22,2.0,CYBER CREW [C4],24.99,+78%,0.11,08/08/2022 13:54:42
MetaBoy Honorary,7.06 ETH,-45%,0.03 ETH,8/5/22 19:50,MetaBoy Honorary,6.82 ETH,-47%,0.03 ETH,8/5/22 20:12,MetaBoy Honorary,6.59,-28%,0.03,8/5/22 21:57,3.0,MetaBoy Honorary,5.5,-46%,0.03,08/05/2022 23:36:57,3.0,MetaBoy Honorary,6.67,-13%,0.03,08/06/2022 18:07:39,3.0,MetaBoy Honorary,9.77,+63%,0.03,08/07/2022 16:15:22,3.0,CYBER CELEBRATION,19.1,--,0.0001,08/08/2022 13:54:42
MetaBoy,4.89 ETH,-16%,0.05 ETH,8/5/22 19:50,MetaBoy,4.64 ETH,-24%,0.05 ETH,8/5/22 20:12,MetaBoy,5.02,-20%,0.05,8/5/22 21:57,4.0,MetaBoy,4.44,-23%,0.05,08/05/2022 23:36:57,4.0,MetaBoy,5.65,-9%,0.06,08/06/2022 18:07:39,4.0,Launch Day,7.25,+425%,0.25,08/07/2022 16:15:22,4.0,PLS&TY Tour Visuals,7.07,--,0.02,08/08/2022 13:54:42
Layer 2 Heads,2.45 ETH,363%,0.01 ETH,8/5/22 19:50,Layer 2 Heads,2.49 ETH,370%,0.01 ETH,8/5/22 20:12,"BBs ""R"" Us",2.58,566%,0.05,8/5/22 21:57,5.0,"BBs ""R"" Us",2.68,+513%,0.05,08/05/2022 23:36:57,5.0,WalkerZ,2.97,+53%,0.04,08/06/2022 18:07:39,5.0,MetaBoy,1.88,-66%,0.06,08/07/2022 16:15:22,5.0,Launch Day,6.27,+20%,0.23,08/08/2022 13:54:42
"BBs ""R"" Us",2.24 ETH,557%,0.03 ETH,8/5/22 19:50,"BBs ""R"" Us",2.40 ETH,603%,0.04 ETH,8/5/22 20:12,Layer 2 Heads,2.41,180%,0.01,8/5/22 21:57,6.0,Layer 2 Heads,2.31,+114%,0.01,08/05/2022 23:36:57,6.0,Launch Day,1.69,+129%,0.14,08/06/2022 18:07:39,6.0,PXL Toys,1.43,+97%,0.02,08/07/2022 16:15:22,6.0,MetaBoy Honorary,5.0,-48%,0.02,08/08/2022 13:54:42
🍒🥭🍎🍊🍐🍍🥝🍇🍈🍌🍏🍉�...,1.87 ETH,-24%,< 0.01 ETH,8/5/22 19:50,🍒🥭🍎🍊🍐🍍🥝🍇🍈🍌🍏🍉�...,1.79 ETH,-17%,< 0.01 ETH,8/5/22 20:12,WalkerZ,1.65,-88%,0.03,8/5/22 21:57,7.0,Honorary Bombatomics,1.6,--,1.5,08/05/2022 23:36:57,7.0,"BBs ""R"" Us",1.37,-35%,0.05,08/06/2022 18:07:39,7.0,YABOYNANCY COLLECTOR PORT...,1.35,+41%,0.02,08/07/2022 16:15:22,7.0,"BBs ""R"" Us",3.03,+815%,0.04,08/08/2022 13:54:42
Honorary Bombatomics,1.60 ETH,--,3.00 ETH,8/5/22 19:50,Honorary Bombatomics,1.60 ETH,--,3.00 ETH,8/5/22 20:12,Honorary Bombatomics,1.6,--,1.5,8/5/22 21:57,8.0,WalkerZ,1.39,-89%,0.03,08/05/2022 23:36:57,8.0,StupidMonkeys Pajamas,1.27,-44%,0.02,08/06/2022 18:07:39,8.0,CYBER CREW COLLECTORS CLU...,1.15,--,1.25,08/07/2022 16:15:22,8.0,MetaBoy,1.82,-54%,0.05,08/08/2022 13:54:42
WalkerZ,1.59 ETH,-92%,0.03 ETH,8/5/22 19:50,WalkerZ,1.59 ETH,-92%,0.03 ETH,8/5/22 20:12,🍒🥭🍎🍊🍐🍍🥝🍇🍈🍌🍏🍉�...,1.34,-34%,0.0001,8/5/22 21:57,9.0,Launch Day,1.32,-23%,0.12,08/05/2022 23:36:57,9.0,Stupid Monkeys Animated,1.13,-33%,0.2,08/06/2022 18:07:39,9.0,PROTAGONISTS,0.88,+39%,0.0001,08/07/2022 16:15:22,9.0,Layer 2 Heads (Drop #2),1.77,+890%,0.01,08/08/2022 13:54:42
StupidMonkeys Pajamas,1.38 ETH,-54%,0.02 ETH,8/5/22 19:50,StupidMonkeys Pajamas,1.36 ETH,-54%,0.02 ETH,8/5/22 20:12,Monkey Business,1.15,42%,0.04,8/5/22 21:57,10.0,Ordinary NFT Cards,1.06,-2%,0.01,08/05/2022 23:36:57,10.0,Layer 2 Heads,1.09,-55%,0.01,08/06/2022 18:07:39,10.0,Stupid Monkeys Animated,0.81,+36%,0.19,08/07/2022 16:15:22,10.0,Ordinary NFT Cards,1.6,+123%,0.01,08/08/2022 13:54:42
