Rank.6,Name of Collection.7,Total volume of Collection (ETH).7,Change in Daily volume (ETH)).7,Floor Price of Collection.7,Time of Scrape.7,Rank Changes,Rank.7,Name of Collection.8,Total volume of Collection (ETH).8,Change in Daily volume (ETH)).8,Floor Price of Collection.8,Time of Scrape.8,Rank Changes.1,Rank,Name of Collection,Total volume of Collection (ETH),Change in Daily volume (ETH)),Floor Price of Collection,Time of Scrape,Rank Changes
1,dTweenies,17.12,522%,0.16,8/11/22 15:47,2,1,PLS&TY Tour Visuals,12.0,105%,0.02,8/16/22 11:46,2,1,PLS&TY Tour Visuals,12.0,+105%,0.02,08/16/2022 11:53:02,New Addition
2,CYBER CREW [C4],13.17,11%,0.1,8/11/22 15:47,0,2,CYBER CREW [C4],10.47,93%,0.09,8/16/22 11:46,0,2,CYBER CREW [C4],10.47,+93%,0.09,08/16/2022 11:53:02,New Addition
3,PLS&TY Tour Visuals,10.77,312%,0.03,8/11/22 15:47,New Addition,3,Betty Boop,8.71,-40%,0.33,8/16/22 11:46,New Addition,3,Betty Boop,8.71,-40%,0.33,08/16/2022 11:53:02,New Addition
4,THE CONSERVATION,9.63,93%,0.09,8/11/22 15:47,New Addition,4,HyperViciouZ,7.24,--,0.04,8/16/22 11:46,New Addition,4,HyperViciouZ,7.24,--,0.04,08/16/2022 11:53:02,New Addition
5,CYBER CELEBRATION,6.27,12%,0.0001,8/11/22 15:47,New Addition,5,What Lies Beneath,7.24,99%,0.11,8/16/22 11:46,New Addition,5,What Lies Beneath,7.24,+99%,0.11,08/16/2022 11:53:02,New Addition
6,MetaBoy,5.43,252%,0.05,8/11/22 15:47,18,6,PROTAGONISTS,5.25,241%,0.01,8/16/22 11:46,18,6,PROTAGONISTS,5.25,+241%,0.01,08/16/2022 11:53:02,New Addition
7,MetaBoy Honorary,2.3,-6%,0.02,8/11/22 15:47,0,7,MetaBoy Honorary,3.96,288%,0.03,8/16/22 11:46,0,7,MetaBoy Honorary,3.96,+288%,0.03,08/16/2022 11:53:02,New Addition
8,CYBER CREW COLLECTORS CLU...,2.29,60%,0.92,8/11/22 15:47,New Addition,8,StupidMonkeys Extra,2.72,--,0.04,8/16/22 11:46,New Addition,8,StupidMonkeys Extra,2.72,--,0.04,08/16/2022 11:53:02,New Addition
9,Ordinary NFT Cards,2.23,31%,0.01,8/11/22 15:47,-3,9,MetaBoy,2.62,95%,0.06,8/16/22 11:46,-3,9,MetaBoy,2.62,+95%,0.06,08/16/2022 11:53:02,New Addition
10,Daz Digital Collection Se...,1.75,70%,0.0001,8/11/22 15:47,11,10,YABOYNANCY COLLECTOR PORT...,1.81,-64%,0.02,8/16/22 11:46,11,10,YABOYNANCY COLLECTOR PORT...,1.81,-64%,0.02,08/16/2022 11:53:02,New Addition
11,PXL Toys | Updated,1.48,-85%,0.01,8/11/22 15:47,New Addition,11,Warden's Reach,1.8,-6%,0.05,8/16/22 11:46,New Addition,11,Warden's Reach,1.8,-6%,0.05,08/16/2022 11:53:02,New Addition
12,🍒🥭🍎🍊🍐🍍🥝🍇🍈🍌🍏🍉�...,1.48,-25%,0.0001,8/11/22 15:47,-7,12,CYBER CELEBRATION,1.62,-60%,0.0001,8/16/22 11:46,-7,12,CYBER CELEBRATION,1.62,-60%,0.0001,08/16/2022 11:53:02,New Addition
13,MoonMen,1.2,--,2.1,8/11/22 15:47,-12,13,dTweenies,1.57,619%,0.09,8/16/22 11:46,-12,13,dTweenies,1.57,+619%,0.09,08/16/2022 11:53:02,New Addition
14,StupidMonkeys Animated,1.11,--,0.2,8/11/22 15:47,-10,14,THE CONSERVATION,1.54,-85%,0.06,8/16/22 11:46,-10,14,THE CONSERVATION,1.54,-85%,0.06,08/16/2022 11:53:02,New Addition
15,MoonMen Interdimentional,1.1,285%,0.1,8/11/22 15:47,New Addition,15,NFT Mart,1.47,--,0.01,8/16/22 11:46,New Addition,15,NFT Mart,1.47,--,0.01,08/16/2022 11:53:02,New Addition
16,Overwhelmed,0.97,82%,0.08,8/11/22 15:47,29,16,The Roaring 20s,1.15,--,0.18,8/16/22 11:46,29,16,The Roaring 20s,1.15,--,0.18,08/16/2022 11:53:02,New Addition
17,Launch Day,0.79,139%,0.18,8/11/22 15:47,New Addition,17,2D Animation Loops,1.11,1567%,0.09,8/16/22 11:46,New Addition,17,2D Animation Loops,1.11,+1567%,0.09,08/16/2022 11:53:02,New Addition
18,Inequity's Book,0.77,-65%,0.02,8/11/22 15:47,New Addition,18,VZEWL Airdrops,0.99,--,0.09,8/16/22 11:46,New Addition,18,VZEWL Airdrops,0.99,--,0.09,08/16/2022 11:53:02,New Addition
19,Swatch,0.74,1386%,0.02,8/11/22 15:47,-7,19,🍒🥭🍎🍊🍐🍍🥝🍇🍈🍌🍏🍉�...,0.94,-57%,0.0001,8/16/22 11:46,-7,19,🍒🥭🍎🍊🍐🍍🥝🍇🍈🍌🍏🍉�...,0.94,-57%,0.0001,08/16/2022 11:53:02,New Addition
20,Seekers of Fortune,0.74,-44%,0.1,8/11/22 15:47,24,20,Loopingu. II,0.91,--,0.08,8/16/22 11:46,24,20,Loopingu. II,0.91,--,0.08,08/16/2022 11:53:02,New Addition
21,YABOYNANCY COLLECTOR PORT...,0.54,-37%,0.02,8/11/22 15:47,8,21,The Chibis,0.88,291%,0.01,8/16/22 11:46,8,21,The Chibis,0.88,+291%,0.01,08/16/2022 11:53:02,New Addition
22,WalkerZ,0.49,54%,0.03,8/11/22 15:47,-5,22,Launch Day,0.75,-62%,0.23,8/16/22 11:46,-5,22,Launch Day,0.75,-62%,0.23,08/16/2022 11:53:02,New Addition
23,Shrunken Head Stickers,0.42,--,0.05,8/11/22 15:47,New Addition,23,Apocalypse Research Team ...,0.72,--,0.01,8/16/22 11:46,New Addition,23,Apocalypse Research Team ...,0.72,--,0.01,08/16/2022 11:53:02,New Addition
24,PROTAGONISTS,0.37,104%,0.0001,8/11/22 15:47,26,24,Thugz,0.63,1995%,0.04,8/16/22 11:46,26,24,Thugz,0.63,+1995%,0.04,08/16/2022 11:53:02,New Addition
25,Power 2 The Apes!,0.34,-59%,0.06,8/11/22 15:47,-16,25,Ordinary NFT Cards,0.54,23%,0.01,8/16/22 11:46,-16,25,Ordinary NFT Cards,0.54,+23%,0.01,08/16/2022 11:53:02,New Addition
26,Framed Memories - Premium...,0.34,--,0.0001,8/11/22 15:47,-16,26,Daz Digital Collection Se...,0.5,13%,0.0001,8/16/22 11:46,-16,26,Daz Digital Collection Se...,0.5,+13%,0.0001,08/16/2022 11:53:02,New Addition
27,StupidMonkeys Collab,0.32,136%,0.03,8/11/22 15:47,New Addition,27,Seawuf,0.48,--,0.01,8/16/22 11:46,New Addition,27,Seawuf,0.48,--,0.01,08/16/2022 11:53:02,New Addition
28,Bombatomics,0.28,175%,0.01,8/11/22 15:47,New Addition,28,The Vulcan Armoury,0.45,78%,0.1,8/16/22 11:46,New Addition,28,The Vulcan Armoury,0.45,+78%,0.1,08/16/2022 11:53:02,New Addition
29,The Chibis,0.27,-75%,0.0001,8/11/22 15:47,New Addition,29,MOON222: Pets,0.45,462%,0.04,8/16/22 11:46,New Addition,29,MOON222: Pets,0.45,+462%,0.04,08/16/2022 11:53:02,New Addition
30,Tower Squad: Vault,0.27,-60%,0.03,8/11/22 15:47,New Addition,30,Heavy Metal Demons Co-op,0.43,--,0.02,8/16/22 11:46,New Addition,30,Heavy Metal Demons Co-op,0.43,--,0.02,08/16/2022 11:53:02,New Addition
31,Monkey Business,0.25,13%,0.03,8/11/22 15:47,New Addition,31,DemonDAO,0.42,--,0.01,8/16/22 11:46,New Addition,31,DemonDAO,0.42,--,0.01,08/16/2022 11:53:02,New Addition
32,Layer 2 Heads (Drop #3),0.21,-88%,0.01,8/11/22 15:47,New Addition,32,Fanimations,0.4,--,0.1,8/16/22 11:46,New Addition,32,Fanimations,0.4,--,0.1,08/16/2022 11:53:02,New Addition
33,Neons,0.2,-84%,0.01,8/11/22 15:47,New Addition,33,Soft Rain Vol.1,0.4,--,10.0,8/16/22 11:46,New Addition,33,Soft Rain Vol.1,0.4,--,10.0,08/16/2022 11:53:02,New Addition
34,StupidMonkeys Pajamas,0.2,-56%,0.03,8/11/22 15:47,New Addition,34,SLEEPER SYSTEMS,0.37,--,0.01,8/16/22 11:46,New Addition,34,SLEEPER SYSTEMS,0.37,--,0.01,08/16/2022 11:53:02,New Addition
35,Soulie,0.19,223%,0.06,8/11/22 15:47,-5,35,Tower Squad: Vault,0.36,-3%,0.05,8/16/22 11:46,-5,35,Tower Squad: Vault,0.36,-3%,0.05,08/16/2022 11:53:02,New Addition
36,dTweenie Stickers,0.18,414%,0.0001,8/11/22 15:47,New Addition,36,Diamonds,0.35,--,0.01,8/16/22 11:46,New Addition,36,Diamonds,0.35,--,0.01,08/16/2022 11:53:02,New Addition
37,Fondue Finds,0.18,-44%,0.02,8/11/22 15:47,New Addition,37,A Silent House of Cards,0.35,55%,0.0001,8/16/22 11:46,New Addition,37,A Silent House of Cards,0.35,+55%,0.0001,08/16/2022 11:53:02,New Addition
38,Above the Clouds,0.17,3234%,0.0001,8/11/22 15:47,New Addition,38,The Sets,0.32,--,0.0001,8/16/22 11:46,New Addition,38,The Sets,0.32,--,0.0001,08/16/2022 11:53:02,New Addition
39,Silent Girl Classic and C...,0.16,4291%,0.0001,8/11/22 15:47,-29,39,Daz Digital Collection Se...,0.28,49%,0.0001,8/16/22 11:46,-29,39,Daz Digital Collection Se...,0.28,+49%,0.0001,08/16/2022 11:53:02,New Addition
40,Axols,0.16,--,0.01,8/11/22 15:47,New Addition,40,Community Skateboards • G...,0.25,-28%,0.01,8/16/22 11:46,New Addition,40,Community Skateboards • G...,0.25,-28%,0.01,08/16/2022 11:53:02,New Addition
41,YABOYNANCY STORY,0.15,25%,0.0001,8/11/22 15:47,6,41,The Roaring Retro Gallery...,0.25,254%,0.02,8/16/22 11:46,6,41,The Roaring Retro Gallery...,0.25,+254%,0.02,08/16/2022 11:53:02,New Addition
42,The Conjurers,0.15,--,0.03,8/11/22 15:47,New Addition,42,Dankclops main collection...,0.24,--,0.17,8/16/22 11:46,New Addition,42,Dankclops main collection...,0.24,--,0.17,08/16/2022 11:53:02,New Addition
43,Dapper Doggos,0.15,--,0.03,8/11/22 15:47,-7,43,dTweenie Stickers,0.22,190%,0.0001,8/16/22 11:46,-7,43,dTweenie Stickers,0.22,+190%,0.0001,08/16/2022 11:53:02,New Addition
44,Loopingu. II,0.14,--,0.06,8/11/22 15:47,-33,44,PXL Toys | Updated,0.2,110%,0.01,8/16/22 11:46,-33,44,PXL Toys | Updated,0.2,+110%,0.01,08/16/2022 11:53:02,New Addition
45,The Roaring 20s,0.13,-69%,0.18,8/11/22 15:47,New Addition,45,Player Gloves,0.2,17%,0.08,8/16/22 11:46,New Addition,45,Player Gloves,0.2,+17%,0.08,08/16/2022 11:53:02,New Addition
46,"BBs ""R"" Us",0.11,-54%,0.02,8/11/22 15:47,New Addition,46,The Roaring 3020s,0.19,--,0.04,8/16/22 11:46,New Addition,46,The Roaring 3020s,0.19,--,0.04,08/16/2022 11:53:02,New Addition
47,The Roaring Retro Gallery...,0.1,-27%,0.02,8/11/22 15:47,-22,47,Power 2 The Apes!,0.17,162%,0.06,8/16/22 11:46,-22,47,Power 2 The Apes!,0.17,+162%,0.06,08/16/2022 11:53:02,New Addition
48,Inequity's Gallery,0.1,-76%,0.02,8/11/22 15:47,-30,48,Inequity's Book,0.14,73%,0.01,8/16/22 11:46,-30,48,Inequity's Book,0.14,+73%,0.01,08/16/2022 11:53:02,New Addition
49,Loop Cats x Loop Weebs,0.1,--,0.01,8/11/22 15:47,New Addition,49,Dreamland,0.14,-75%,0.07,8/16/22 11:46,New Addition,49,Dreamland,0.14,-75%,0.07,08/16/2022 11:53:02,New Addition
50,Thugz,0.1,100%,0.04,8/11/22 15:47,N/A,50,Tiny Space Pirates,0.14,-48%,0.0001,8/16/22 11:46,N/A,50,Tiny Space Pirates,0.14,-48%,0.0001,08/16/2022 11:53:02,N/A
